Unnamed: 0,molecule_chembl_id,canonical_smiles,bioactivity_class,pIC50,MW,LogP,NumHDonors,NumHAcceptors
268,CHEMBL427305,C=CCOc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,active,8.2839966563652,316.36100000000005,1.8137999999999999,2,7
269,CHEMBL171639,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1Oc1ccc(NC(=O)CBr)cc1,active,8.397940008672037,488.34200000000016,3.3747000000000016,3,8
270,CHEMBL173265,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCC1CO1,active,7.853871964321762,332.3600000000001,1.0265999999999997,2,8
271,CHEMBL173069,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCCN1C(=O)c2ccccc2C1=O,active,7.7447274948966935,449.46700000000027,1.924,2,9
272,CHEMBL355793,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC(C)C,active,7.619788758288394,318.37700000000007,2.0362,2,7
273,CHEMBL176489,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCCCCl,active,8.301029995663981,352.8220000000001,2.2567000000000004,2,7
274,CHEMBL423434,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1Oc1ccc(N)cc1,active,8.200659450546418,367.4090000000001,2.6235,3,8
275,CHEMBL279509,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCc1ccccc1,active,7.853871964321762,366.4210000000001,2.828000000000001,2,7
276,CHEMBL174033,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCCCCCCN1C(=O)c2ccccc2C1=O,active,7.3979400086720375,505.57500000000044,3.4844000000000026,2,9
277,CHEMBL318078,COC(=O)CCCCCOc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,active,7.2076083105017466,404.46700000000016,2.3611999999999993,2,9
278,CHEMBL172495,CCC(C)Oc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,active,7.795880017344075,332.40400000000005,2.4263000000000003,2,7
279,CHEMBL369211,CCCCCCOc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,active,8.3767507096021,360.45800000000014,3.2081,2,7
280,CHEMBL173595,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCCCN1CCN(C)CC1,active,7.6777807052660805,416.52600000000035,1.2653000000000014,2,9
281,CHEMBL1181,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1O,active,7.958607314841775,276.296,0.9545999999999997,3,7
282,CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,active,7.7447274948966935,290.32300000000004,1.2575999999999998,2,7
283,CHEMBL116200,COc1ccc(CNc2ccc3nc(N)nc(N)c3c2)c(OC)c1,active,6.4089353929735005,325.37200000000007,2.4234999999999998,3,7
284,CHEMBL114839,Nc1nc(N)c2cc(NCc3cccc4c3CCCC4)ccc2n1,active,6.823908740944319,319.41200000000003,3.2851000000000017,3,5
285,CHEMBL325434,COc1ccc(OC)c(CN(C)c2ccc3nc(N)nc(N)c3c2)c1,active,8.10790539730952,339.39900000000006,2.4478,2,7
